Epoch: 217/500, Duration: 1.248s, ACC: 0.7794, Train Loss: 0.9823, Test Loss:0.8791
Epoch: 218/500, Duration: 1.251s, ACC: 0.7806, Train Loss: 0.9710, Test Loss:0.8651
Epoch: 219/500, Duration: 1.246s, ACC: 0.7830, Train Loss: 0.9697, Test Loss:0.8645
Epoch: 220/500, Duration: 1.246s, ACC: 0.7832, Train Loss: 0.9705, Test Loss:0.8667
Epoch: 221/500, Duration: 1.247s, ACC: 0.7857, Train Loss: 0.9605, Test Loss:0.8515
Epoch: 222/500, Duration: 1.246s, ACC: 0.7824, Train Loss: 0.9575, Test Loss:0.8613
Epoch: 223/500, Duration: 1.246s, ACC: 0.7866, Train Loss: 0.9633, Test Loss:0.8470
Epoch: 224/500, Duration: 1.246s, ACC: 0.7797, Train Loss: 0.9560, Test Loss:0.8841
Epoch: 225/500, Duration: 1.247s, ACC: 0.7850, Train Loss: 0.9546, Test Loss:0.8551
Epoch: 226/500, Duration: 1.249s, ACC: 0.7857, Train Loss: 0.9530, Test Loss:0.8468
Epoch: 227/500, Duration: 1.248s, ACC: 0.7802, Train Loss: 0.9443, Test Loss:0.8743
Epoch: 228/500, Duration: 1.247s, ACC: 0.7829, Train Loss: 0.9397, Test Loss:0.8608
Epoch: 229/500, Duration: 1.247s, ACC: 0.7871, Train Loss: 0.9388, Test Loss:0.8475
Epoch: 230/500, Duration: 1.250s, ACC: 0.7883, Train Loss: 0.9360, Test Loss:0.8353
Epoch: 231/500, Duration: 1.247s, ACC: 0.7840, Train Loss: 0.9313, Test Loss:0.8572
Epoch: 232/500, Duration: 1.251s, ACC: 0.7888, Train Loss: 0.9318, Test Loss:0.8324
Epoch: 233/500, Duration: 1.249s, ACC: 0.7879, Train Loss: 0.9314, Test Loss:0.8395
Epoch: 234/500, Duration: 1.249s, ACC: 0.7846, Train Loss: 0.9264, Test Loss:0.8545
Epoch: 235/500, Duration: 1.248s, ACC: 0.7904, Train Loss: 0.9306, Test Loss:0.8281
Epoch: 236/500, Duration: 1.246s, ACC: 0.7875, Train Loss: 0.9240, Test Loss:0.8369
Epoch: 237/500, Duration: 1.244s, ACC: 0.7904, Train Loss: 0.9187, Test Loss:0.8247
Epoch: 238/500, Duration: 1.250s, ACC: 0.7922, Train Loss: 0.9172, Test Loss:0.8270
Epoch: 239/500, Duration: 1.247s, ACC: 0.7913, Train Loss: 0.9198, Test Loss:0.8241
Epoch: 240/500, Duration: 1.248s, ACC: 0.7916, Train Loss: 0.9119, Test Loss:0.8249
Epoch: 241/500, Duration: 1.250s, ACC: 0.7907, Train Loss: 0.9088, Test Loss:0.8341
Epoch: 242/500, Duration: 1.248s, ACC: 0.7891, Train Loss: 0.9059, Test Loss:0.8401
Epoch: 243/500, Duration: 1.252s, ACC: 0.7893, Train Loss: 0.9068, Test Loss:0.8347
Epoch: 244/500, Duration: 1.250s, ACC: 0.7926, Train Loss: 0.9079, Test Loss:0.8167
Epoch: 245/500, Duration: 1.267s, ACC: 0.7950, Train Loss: 0.9035, Test Loss:0.8091
Epoch: 246/500, Duration: 1.205s, ACC: 0.7947, Train Loss: 0.9077, Test Loss:0.8053
Epoch: 247/500, Duration: 1.204s, ACC: 0.7953, Train Loss: 0.8968, Test Loss:0.8126
Epoch: 248/500, Duration: 1.242s, ACC: 0.7899, Train Loss: 0.8974, Test Loss:0.8369
Epoch: 249/500, Duration: 1.253s, ACC: 0.7958, Train Loss: 0.8976, Test Loss:0.8022
Epoch: 250/500, Duration: 1.264s, ACC: 0.7932, Train Loss: 0.8959, Test Loss:0.8141
Epoch: 251/500, Duration: 1.246s, ACC: 0.7947, Train Loss: 0.8901, Test Loss:0.8109
Epoch: 252/500, Duration: 1.246s, ACC: 0.7930, Train Loss: 0.8906, Test Loss:0.8230
Epoch: 253/500, Duration: 1.243s, ACC: 0.7950, Train Loss: 0.8853, Test Loss:0.8115
Epoch: 254/500, Duration: 1.267s, ACC: 0.7931, Train Loss: 0.8862, Test Loss:0.8245
Epoch: 255/500, Duration: 1.204s, ACC: 0.7979, Train Loss: 0.8885, Test Loss:0.7986
Epoch: 256/500, Duration: 1.200s, ACC: 0.7946, Train Loss: 0.8836, Test Loss:0.8155
Epoch: 257/500, Duration: 1.202s, ACC: 0.7949, Train Loss: 0.8784, Test Loss:0.8102
Epoch: 258/500, Duration: 1.203s, ACC: 0.7952, Train Loss: 0.8785, Test Loss:0.8161
Epoch: 259/500, Duration: 1.200s, ACC: 0.7957, Train Loss: 0.8799, Test Loss:0.8075
Epoch: 260/500, Duration: 1.289s, ACC: 0.7989, Train Loss: 0.8700, Test Loss:0.7936
Epoch: 261/500, Duration: 1.254s, ACC: 0.7948, Train Loss: 0.8751, Test Loss:0.8165
Epoch: 262/500, Duration: 1.261s, ACC: 0.7975, Train Loss: 0.8690, Test Loss:0.8025
Epoch: 263/500, Duration: 1.247s, ACC: 0.7977, Train Loss: 0.8722, Test Loss:0.7980
Epoch: 264/500, Duration: 1.248s, ACC: 0.7997, Train Loss: 0.8711, Test Loss:0.7930
Epoch: 265/500, Duration: 1.252s, ACC: 0.7903, Train Loss: 0.8638, Test Loss:0.8363
Epoch: 266/500, Duration: 1.247s, ACC: 0.7981, Train Loss: 0.8690, Test Loss:0.7953
Epoch: 267/500, Duration: 1.248s, ACC: 0.7949, Train Loss: 0.8713, Test Loss:0.8155
Epoch: 268/500, Duration: 1.248s, ACC: 0.7997, Train Loss: 0.8557, Test Loss:0.7816
Epoch: 269/500, Duration: 1.250s, ACC: 0.7979, Train Loss: 0.8636, Test Loss:0.8010
Epoch: 270/500, Duration: 1.250s, ACC: 0.7987, Train Loss: 0.8581, Test Loss:0.7954
Epoch: 271/500, Duration: 1.250s, ACC: 0.7985, Train Loss: 0.8583, Test Loss:0.7918
Epoch: 272/500, Duration: 1.249s, ACC: 0.7990, Train Loss: 0.8559, Test Loss:0.7971
Epoch: 273/500, Duration: 1.250s, ACC: 0.7992, Train Loss: 0.8543, Test Loss:0.7938
Epoch: 274/500, Duration: 1.249s, ACC: 0.7985, Train Loss: 0.8542, Test Loss:0.7961
Epoch: 275/500, Duration: 1.245s, ACC: 0.7980, Train Loss: 0.8516, Test Loss:0.7965
Epoch: 276/500, Duration: 1.245s, ACC: 0.7993, Train Loss: 0.8500, Test Loss:0.7914
Epoch: 277/500, Duration: 1.250s, ACC: 0.7978, Train Loss: 0.8451, Test Loss:0.8034
Epoch: 278/500, Duration: 1.250s, ACC: 0.7982, Train Loss: 0.8440, Test Loss:0.7978
Epoch: 279/500, Duration: 1.253s, ACC: 0.7985, Train Loss: 0.8435, Test Loss:0.8015
Epoch: 280/500, Duration: 1.250s, ACC: 0.7994, Train Loss: 0.8433, Test Loss:0.7978
Epoch: 281/500, Duration: 1.291s, ACC: 0.8021, Train Loss: 0.8437, Test Loss:0.7802
Epoch: 282/500, Duration: 1.336s, ACC: 0.8024, Train Loss: 0.8384, Test Loss:0.7812
Epoch: 283/500, Duration: 1.283s, ACC: 0.7998, Train Loss: 0.8441, Test Loss:0.7925
Epoch: 284/500, Duration: 1.272s, ACC: 0.8002, Train Loss: 0.8354, Test Loss:0.7927
Epoch: 285/500, Duration: 1.266s, ACC: 0.8027, Train Loss: 0.8363, Test Loss:0.7786
Epoch: 286/500, Duration: 1.241s, ACC: 0.8023, Train Loss: 0.8359, Test Loss:0.7810
Epoch: 287/500, Duration: 1.232s, ACC: 0.7990, Train Loss: 0.8317, Test Loss:0.7966
Epoch: 288/500, Duration: 1.234s, ACC: 0.7984, Train Loss: 0.8368, Test Loss:0.8002
Epoch: 289/500, Duration: 1.235s, ACC: 0.8043, Train Loss: 0.8336, Test Loss:0.7706
Epoch: 290/500, Duration: 1.261s, ACC: 0.8020, Train Loss: 0.8302, Test Loss:0.7829
Epoch: 291/500, Duration: 1.261s, ACC: 0.8029, Train Loss: 0.8278, Test Loss:0.7832
Epoch: 292/500, Duration: 1.261s, ACC: 0.7996, Train Loss: 0.8306, Test Loss:0.7990
Epoch: 293/500, Duration: 1.246s, ACC: 0.8025, Train Loss: 0.8291, Test Loss:0.7806
Epoch: 294/500, Duration: 1.233s, ACC: 0.8016, Train Loss: 0.8254, Test Loss:0.7866
Epoch: 295/500, Duration: 1.233s, ACC: 0.8024, Train Loss: 0.8216, Test Loss:0.7867
Epoch: 296/500, Duration: 1.232s, ACC: 0.8006, Train Loss: 0.8251, Test Loss:0.7923
Epoch: 297/500, Duration: 1.260s, ACC: 0.8028, Train Loss: 0.8222, Test Loss:0.7760
Epoch: 298/500, Duration: 1.283s, ACC: 0.8031, Train Loss: 0.8199, Test Loss:0.7793
Epoch: 299/500, Duration: 1.263s, ACC: 0.8017, Train Loss: 0.8224, Test Loss:0.7858
Epoch: 300/500, Duration: 1.261s, ACC: 0.8032, Train Loss: 0.8203, Test Loss:0.7791
Epoch: 301/500, Duration: 1.229s, ACC: 0.8027, Train Loss: 0.8187, Test Loss:0.7823
Epoch: 302/500, Duration: 1.233s, ACC: 0.8020, Train Loss: 0.8138, Test Loss:0.7904
Epoch: 303/500, Duration: 1.232s, ACC: 0.8044, Train Loss: 0.8186, Test Loss:0.7784
Epoch: 304/500, Duration: 1.246s, ACC: 0.8050, Train Loss: 0.8126, Test Loss:0.7738
Epoch: 305/500, Duration: 1.259s, ACC: 0.8018, Train Loss: 0.8113, Test Loss:0.7907
Epoch: 306/500, Duration: 1.261s, ACC: 0.8045, Train Loss: 0.8090, Test Loss:0.7724
Epoch: 307/500, Duration: 1.259s, ACC: 0.8064, Train Loss: 0.8084, Test Loss:0.7693
Epoch: 308/500, Duration: 1.233s, ACC: 0.8052, Train Loss: 0.8121, Test Loss:0.7714
Epoch: 309/500, Duration: 1.234s, ACC: 0.8044, Train Loss: 0.8078, Test Loss:0.7771
Epoch: 310/500, Duration: 1.231s, ACC: 0.8042, Train Loss: 0.8076, Test Loss:0.7762
Epoch: 311/500, Duration: 1.234s, ACC: 0.8043, Train Loss: 0.8038, Test Loss:0.7746
Epoch: 312/500, Duration: 1.264s, ACC: 0.8067, Train Loss: 0.8092, Test Loss:0.7591
Epoch: 313/500, Duration: 1.262s, ACC: 0.8040, Train Loss: 0.8038, Test Loss:0.7767
Epoch: 314/500, Duration: 1.265s, ACC: 0.8066, Train Loss: 0.8005, Test Loss:0.7653
Epoch: 315/500, Duration: 1.243s, ACC: 0.8040, Train Loss: 0.8029, Test Loss:0.7749
Epoch: 316/500, Duration: 1.229s, ACC: 0.8046, Train Loss: 0.7999, Test Loss:0.7727
Epoch: 317/500, Duration: 1.234s, ACC: 0.8050, Train Loss: 0.8019, Test Loss:0.7711
Epoch: 318/500, Duration: 1.229s, ACC: 0.8063, Train Loss: 0.7984, Test Loss:0.7686
Epoch: 319/500, Duration: 1.262s, ACC: 0.8065, Train Loss: 0.7997, Test Loss:0.7656
Epoch: 320/500, Duration: 1.265s, ACC: 0.8075, Train Loss: 0.7942, Test Loss:0.7602
Epoch: 321/500, Duration: 1.260s, ACC: 0.8076, Train Loss: 0.7975, Test Loss:0.7624
Epoch: 322/500, Duration: 1.260s, ACC: 0.8068, Train Loss: 0.7936, Test Loss:0.7627
Epoch: 323/500, Duration: 1.228s, ACC: 0.8057, Train Loss: 0.7944, Test Loss:0.7679
Epoch: 324/500, Duration: 1.231s, ACC: 0.8070, Train Loss: 0.7923, Test Loss:0.7626
Epoch: 325/500, Duration: 1.236s, ACC: 0.8083, Train Loss: 0.7923, Test Loss:0.7605
